LDCpointID,PrimaryKey,TrtPolyID,Trt_ID
6865,NM_Farmington_LUP_2020_LOAM_175_V12020-09-01,6574,19716
46998,ID_FourRiversFOLUP2019_PLN-195_V12021-09-01,6616,19822
36132,12072516543831262014-09-01,6625,19841
36133,12072516542347482014-09-01,6626,19842
36305,12072516540765362014-09-01,6626,19842
36308,20062413390091152021-09-01,6626,19842
36307,NV_NV-Winnemucca-DO-ESR-2021_MC-1_V62021-09-01,6626,19842
36304,NV_WMDO_ESR_2023_MC-1_V72023-09-01,6626,19842
36305,12072516540765362014-09-01,6627,19843
36308,20062413390091152021-09-01,6627,19843
36307,NV_NV-Winnemucca-DO-ESR-2021_MC-1_V62021-09-01,6627,19843
36304,NV_WMDO_ESR_2023_MC-1_V72023-09-01,6627,19843
21085,11051113475088772011-09-01,6647,19884
21085,11051113475088772011-09-01,6648,19885
41581,20121653020202R2,6650,19899
41614,20121653020202R1,6650,19899
22785,18061211072699882018-09-01,6668,19936
22758,2023881100717B1,6669,19937
22758,2023881100717B1,6670,19938
39696,20213213203019B1,6685,19991
39696,20213213203019B1,6686,19992
2282,NM_LasCrucesTriCounty_2017_GR_091_V12020-09-01,6687,19995
5949,NM_Farmington_LUP_2020_LOAM_183_V12020-09-01,6712,20090
10865,NV_EYDO_ESR_MEAD_2022_MEAD_NATREG_121_V12022-09-01,6731,20171
10866,NV_EYDO_ESR_MEAD_2022_MEAD-NATREG-121_V22023-09-01,6731,20171
48283,20171651106918B1,6769,20257
48298,20171651106918B2,6769,20257
48283,20171651106918B1,6770,20256
48298,20171651106918B2,6770,20256
8336,COS01000_2022_MC-3712019-09-01,6771,20272
22062,17081511415397952017-09-01,6803,20339
51667,17081011151550522017-09-01,6813,20382
7420,NM_FFO_LUP_2020_LOAM_209_V12022-09-01,6821,20401
53846,OR_BUDOPAC_2021_BU-NR-001_V12022-09-01,6832,20444
15220,2015491202916B1,6860,20520
15220,2015491202916B1,6861,20521
23530,NV_NV-Carson-City-DO-2021_CCDO2021-020_V22021-09-01,6866,70873
23464,14060310435383672014-09-01,6867,20563
23569,NV_NV-CC-DO-HAF-Pine-Nut-2021_Pine-Nut-PMU-29_V22021-09-01,6867,20563
23570,12082215341194402012-09-01,6867,20563
